Month,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
Apr-00,0.131249994,0.217317998,0.143326998,0.213671997,0.15625,0.229947999,0.118749999,0.201041996,153936000,639600000
Apr-01,0.25445801,0.354458004,0.240104005,0.362333,0.258073002,0.374958009,0.224218994,0.339583009,764112000,3362472000
Apr-02,0.269582987,0.366167009,0.253082991,0.363582999,0.284583002,0.372417003,0.253082991,0.353083014,693156000,3930852000
Apr-03,0.108750001,0.120917,0.110417001,0.120833002,0.111667,0.122500002,0.107166998,0.118749999,364104000,884652000
Apr-04,0.177667007,0.224583,0.171000004,0.226999998,0.178749993,0.227917001,0.170332998,0.219833001,429912000,1319508000
Apr-05,0.176833004,0.200416997,0.176667005,0.197999999,0.180666998,0.203250006,0.174333006,0.194999993,318168000,630156000
Apr-06,0.470833004,0.508000016,0.467833012,0.510167003,0.48300001,0.513999999,0.462166995,0.500832975,284736000,1200612000
Apr-07,0.476666987,0.558667004,0.476332992,0.558667004,0.480500013,0.565666974,0.471332997,0.547999978,361692000,1332900000
Apr-08,0.449250013,0.526499987,0.447750002,0.524999976,0.454750001,0.526499987,0.440250009,0.507499993,439916000,1535528000
Apr-09,0.243499994,0.297250003,0.252750009,0.300999999,0.254999995,0.301999986,0.234249994,0.290250003,590660000,1110276000
Apr-10,0.402999997,0.451000005,0.392749995,0.45025,0.409750015,0.453249991,0.392500013,0.444000006,339664000,1917736000
Apr-11,0.428750008,0.490999997,0.432999998,0.5,0.437249988,0.510999978,0.420749992,0.490249991,421300000,1254704000
Apr-12,0.322750002,0.386000007,0.320499986,0.383249998,0.32675001,0.387250006,0.318749994,0.377750009,262268000,730440000
Apr-13,0.301750004,0.340000004,0.303250015,0.344249994,0.307249993,0.344249994,0.300999999,0.337749988,245568000,969220000
Apr-14,0.453999996,0.480500013,0.453000009,0.4815,0.459749997,0.486499995,0.446999997,0.480500013,117004000,656272000
Apr-15,0.524249971,0.567749977,0.525250018,0.569000006,0.52700001,0.57099998,0.516250014,0.561749995,155284000,515864000
Apr-16,0.882499993,0.927749991,0.885749996,0.932749987,0.895500004,0.936500013,0.865750015,0.917750001,178280000,453376000
Apr-17,2.400249958,2.723750114,2.387249947,2.709500074,2.430249929,2.741250038,2.387249947,2.685499907,319700000,1271280000
Apr-18,5.375249863,5.929249763,5.356249809,5.938499928,5.539500237,5.981249809,5.257500172,5.819250107,327844000,922092000
Apr-19,4.450749874,4.827499866,4.452250004,4.802499771,4.511250019,4.836750031,4.332499981,4.741499901,279936000,868988000
Apr-20,6.105999947,7.574999809,6.076749802,7.461500168,6.390749931,7.605000019,5.959750175,7.349999905,352328000,784520000
Apr-21,13.57225037,16.0529995,13.81175041,16.1372509,13.86999989,16.21425056,13.51124954,15.86524963,164572000,869324000
Apr-22,18.59799957,27.375,18.41500092,27.36000061,19.16699982,27.55800056,18.29000092,26.61300087,397120000,703833000
Apr-23,26.50399971,27.9659996,26.24099922,27.96500015,26.88299942,28.11000061,26.21999931,27.35700035,292216000,604812000
