Month,Min_Open,Max_Open,Min_Close,Max_Close,Min_High,Max_High,Min_Low,Max_Low,Min_Volume,Max_Volume
Apr-00,0.976004004,1.209820986,0.975445986,1.190289974,1.053570986,1.24553597,0.936384022,1.155691981,212262400,941136000
Apr-01,0.352856994,0.476785988,0.348214,0.467857003,0.361606985,0.48428601,0.334820986,0.444106996,266582400,1873670400
Apr-02,0.413571,0.463036001,0.410892993,0.466250002,0.429643005,0.467321008,0.410714,0.45321399,140448000,614577600
Apr-03,0.231964007,0.265179008,0.234285995,0.260713995,0.235535994,0.266963989,0.227143005,0.257321,107100000,1392708800
Apr-04,0.472321004,0.520536005,0.46035701,0.523213983,0.481429011,0.528213978,0.455179006,0.508929014,230540800,1761446400
Apr-05,1.25,1.576786041,1.262500048,1.562142968,1.293928981,1.587499976,1.21428597,1.554999948,414825600,1728087200
Apr-06,2.217856884,2.533214092,2.18464303,2.51392889,2.222142935,2.546428919,2.180356979,2.47142911,529062800,1666982800
Apr-07,3.220000029,3.62785697,3.222856998,3.568571091,3.244642973,3.660713911,3.200000048,3.55964303,352466800,1737778000
Apr-08,5.224999905,6.292500019,5.255000114,6.251786232,5.330357075,6.428571224,5.128929138,6.175714016,698037200,1696066400
Apr-09,3.717499971,4.522142887,3.881786108,4.493928909,3.892857075,4.54285717,3.710356951,4.461429119,389236400,945156800
Apr-10,8.39214325,9.710000038,8.427499771,9.672499657,8.518214226,9.730713844,8.3125,9.578213692,306210800,982391200
Apr-11,11.64642906,12.67857075,11.69499969,12.60750008,11.8653574,12.68321419,11.43428612,12.51071358,266546000,1006345200
Apr-12,20.09321404,22.85464287,20.01000023,22.72249985,20.27464294,23,19.8214283,22.3571434,406722400,1076149200
Apr-13,13.85607147,15.78214264,13.94750023,15.81357098,14.27142906,15.90178585,13.75357056,15.43107128,238613200,969651200
Apr-14,18.50178528,21.20499992,18.4985714,21.21750069,18.61035728,21.40821457,18.26178551,21.06428528,162344000,759911600
Apr-15,31.11750031,33.61500168,31.0625,33.16249847,31.28000069,33.63499832,30.77499962,32.78749847,102098400,475696000
Apr-16,23.49749947,28.02750015,23.43499947,28.02499962,23.68000031,28.09749985,23.12750053,27.83250046,94326800,458408400
Apr-17,35.30500031,36.11750031,35.16999817,36.19250107,35.47000122,36.36500168,35.01499939,35.96749878,56985200,121517600
Apr-18,40.53250122,44.45249939,40.58000183,44.56000137,41.08250046,44.73500061,40.15750122,44.22000122,83018000,261964400
Apr-19,47.77249908,51.84000015,47.81000137,51.86999893,47.91999817,52.11999893,47.09500122,51.76250076,70146400,186139600
Apr-20,60.08499908,72.48999786,60.22750092,73.44999695,61.28749847,73.63249969,59.22499847,72.08750153,112004800,215250000
Apr-21,123.6600037,136.4700012,123,134.8399963,124.1800003,137.0700073,122.4899979,134.1100006,66015800,151101000
Apr-22,155.9100037,177.5,156.5700073,178.4400024,159.7899933,178.4900055,155.3800049,174.4400024,67723800,131747600
Apr-23,161.2200012,168.4900055,160.1000061,169.6799927,162.0299988,169.8500061,159.7799988,167.8800049,41516200,68445600
Apr-24,165.3500061,175.3600006,165,176.5500031,166.3999939,178.3600006,164.0800018,174.2100067,37425500,101593300
Apr-81,0.108817004,0.130579993,0.108259,0.130579993,0.108817004,0.131137997,0.108259,0.130579993,6652800,58016000
Apr-82,0.065289997,0.079241,0.065289997,0.079241,0.065848,0.079798996,0.065289997,0.079241,23990400,277401600
Apr-83,0.175780997,0.232143,0.175780997,0.232143,0.178012997,0.235490993,0.172433004,0.228795007,79408000,308313600
Apr-84,0.104911,0.134487003,0.104911,0.140066996,0.108259,0.140066996,0.102678999,0.133370996,44105600,371996800
Apr-85,0.087612003,0.102121003,0.087612003,0.102121003,0.088169999,0.102678999,0.087612003,0.102121003,59830400,263894400
Apr-86,0.119419999,0.143972993,0.119419999,0.143972993,0.120536,0.146204993,0.117187999,0.141740993,75667200,458371200
Apr-87,0.28125,0.348214,0.297991008,0.353794992,0.299106985,0.357143015,0.278459996,0.347097993,142217600,777280000
Apr-88,0.350445986,0.372768015,0.345981985,0.372768015,0.352679014,0.378347993,0.34375,0.370536,89992000,232960000
Apr-89,0.308036,0.363839,0.308036,0.364955008,0.311383992,0.371652007,0.302455008,0.359375,103857600,560985600
Apr-90,0.345981985,0.388393015,0.345981985,0.390625,0.348214,0.395089,0.340402007,0.386161,105481600,481476800
Apr-91,0.515625,0.647320986,0.491070986,0.649554014,0.520088971,0.654017985,0.486606985,0.625,72475200,1700384000
